Procesado,ID,Petición (Tiempo),Método,URL,Código,Razón,RTT,Tamaño de la Cabecera de Respuesta,Respuesta (Tamaño del cuerpo),Alerta mayor,Nota,Etiquetas
Fuera del Ámbito,1,Thu Oct 02 08:22:15 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,2,Thu Oct 02 08:22:16 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=remote-permissions&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,3,Thu Oct 02 08:22:16 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,4,Thu Oct 02 08:22:16 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,5,Thu Oct 02 08:22:16 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=third-party-cookie-blocking-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,6,Thu Oct 02 08:22:17 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=nimbus-desktop-experiments&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,7,Thu Oct 02 08:22:17 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=nimbus-secure-experiments&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,8,Thu Oct 02 08:22:17 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=tracking-protection-lists&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,9,Thu Oct 02 08:22:17 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=search-categorization&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,10,Thu Oct 02 08:22:18 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,11,Thu Oct 02 08:22:18 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-amp/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,12,Thu Oct 02 08:22:18 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,13,Thu Oct 02 08:22:19 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,14,Thu Oct 02 08:22:19 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,15,Thu Oct 02 08:22:19 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,16,Thu Oct 02 08:22:20 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=url-classifier-exceptions&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Procesado,17,Thu Oct 02 08:22:20 CST 2025,GET,https://sito.utslp.edu.mx/,200,OK,3159,235,15938,Medio,false,"Form,Password,Hidden,Script,Comment"
Procesado,19,Thu Oct 02 08:22:23 CST 2025,GET,https://sito.utslp.edu.mx/javascript/utilities.js,200,OK,5335,324,7813,Bajo,false,Comment
Procesado,21,Thu Oct 02 08:22:23 CST 2025,GET,https://sito.utslp.edu.mx/styles2/redmond_1.7.3/jquery-ui-1.7.3.custom.css,200,OK,5335,312,27460,Bajo,false,Comment
Procesado,24,Thu Oct 02 08:22:23 CST 2025,GET,https://sito.utslp.edu.mx/styles2/bootstrap/font-awesome.min.css,200,OK,5302,312,21106,Bajo,false,Comment
Procesado,26,Thu Oct 02 08:22:23 CST 2025,GET,https://sito.utslp.edu.mx/javascript/jquery/jquery-1.5.1.min.js,200,OK,5370,326,91745,Medio,false,"Script,Comment"
Procesado,28,Thu Oct 02 08:22:23 CST 2025,GET,https://sito.utslp.edu.mx/styles2/bootstrap/bootstrap.min.css,200,OK,5397,312,97347,Bajo,false,"Upload,Comment"
Procesado,29,Thu Oct 02 08:22:23 CST 2025,GET,https://sito.utslp.edu.mx/styles2/bootstrap/bootstrap_4.3.1.min.css,200,OK,5574,314,155786,Bajo,false,Comment
Procesado,30,Thu Oct 02 08:22:29 CST 2025,GET,https://sito.utslp.edu.mx/javascript/scriptAnimaciones.js,200,OK,46,326,10952,Bajo,false,
Procesado,31,Thu Oct 02 08:22:29 CST 2025,GET,https://sito.utslp.edu.mx/javascript/jquery/jquery-ui-1.8.2.min.js,200,OK,129,328,206991,Medio,false,Comment
Procesado,32,Thu Oct 02 08:22:29 CST 2025,GET,https://sito.utslp.edu.mx/images/banner4.png?time=1759414942914,200,OK,92,313,65845,Bajo,false,Comment
Procesado,34,Thu Oct 02 08:22:29 CST 2025,GET,https://sito.utslp.edu.mx/prueba1.jpg,200,OK,68,316,127655,Bajo,false,Comment
Procesado,35,Thu Oct 02 08:22:29 CST 2025,GET,https://sito.utslp.edu.mx/styles2/fonts/glyphicons-halflings-regular.woff,200,OK,36,327,23424,Bajo,false,Comment
Procesado,37,Thu Oct 02 08:22:29 CST 2025,GET,https://sito.utslp.edu.mx/styles2/fonts/fontawesome-webfont.woff?v=4.1.0,200,OK,100,327,83588,Bajo,false,
Procesado,38,Thu Oct 02 08:22:29 CST 2025,GET,https://sito.utslp.edu.mx/images/shortcutico.png,200,OK,57,311,9581,Bajo,false,
Fuera del Ámbito,39,Thu Oct 02 08:22:34 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,40,Thu Oct 02 08:22:34 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=remote-permissions&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,41,Thu Oct 02 08:22:34 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,42,Thu Oct 02 08:22:34 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,43,Thu Oct 02 08:22:36 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=third-party-cookie-blocking-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,44,Thu Oct 02 08:22:36 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=nimbus-desktop-experiments&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,45,Thu Oct 02 08:22:36 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=tracking-protection-lists&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,46,Thu Oct 02 08:22:37 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=nimbus-secure-experiments&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,47,Thu Oct 02 08:22:37 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=search-categorization&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,48,Thu Oct 02 08:22:37 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,49,Thu Oct 02 08:22:38 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,50,Thu Oct 02 08:22:38 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,51,Thu Oct 02 08:22:38 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,52,Thu Oct 02 08:22:38 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=url-classifier-exceptions&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,53,Thu Oct 02 08:22:38 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,54,Thu Oct 02 08:22:38 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,55,Thu Oct 02 08:22:41 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,56,Thu Oct 02 08:22:41 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=remote-permissions&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,57,Thu Oct 02 08:22:41 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,58,Thu Oct 02 08:22:41 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,59,Thu Oct 02 08:22:43 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=third-party-cookie-blocking-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,60,Thu Oct 02 08:22:43 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=nimbus-desktop-experiments&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,61,Thu Oct 02 08:22:44 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=nimbus-secure-experiments&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,62,Thu Oct 02 08:22:44 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=tracking-protection-lists&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,63,Thu Oct 02 08:22:44 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,64,Thu Oct 02 08:22:44 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=search-categorization&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,65,Thu Oct 02 08:22:45 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,66,Thu Oct 02 08:22:45 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-amp/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,67,Thu Oct 02 08:22:45 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,68,Thu Oct 02 08:22:46 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=url-classifier-exceptions&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,69,Thu Oct 02 08:22:46 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,70,Thu Oct 02 08:22:46 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,71,Thu Oct 02 08:22:46 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,72,Thu Oct 02 08:22:49 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,73,Thu Oct 02 08:22:50 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=remote-permissions&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,74,Thu Oct 02 08:22:50 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,75,Thu Oct 02 08:22:50 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,76,Thu Oct 02 08:22:52 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=third-party-cookie-blocking-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,77,Thu Oct 02 08:22:53 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=nimbus-desktop-experiments&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,78,Thu Oct 02 08:22:53 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=tracking-protection-lists&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,79,Thu Oct 02 08:22:53 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=nimbus-secure-experiments&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,80,Thu Oct 02 08:22:53 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=search-categorization&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,81,Thu Oct 02 08:22:54 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,82,Thu Oct 02 08:22:54 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-amp/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,83,Thu Oct 02 08:22:54 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,84,Thu Oct 02 08:22:54 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=url-classifier-exceptions&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,85,Thu Oct 02 08:22:54 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,86,Thu Oct 02 08:22:54 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,87,Thu Oct 02 08:22:54 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/quicksuggest-other/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,88,Thu Oct 02 08:23:03 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0,403,Forbidden,0,130,40,,false,
Fuera del Ámbito,89,Thu Oct 02 08:23:10 CST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?_expected=0,403,Forbidden,0,130,40,,false,
I/O Error,90,Thu Oct 02 08:22:31 CST 2025,GET,https://sito.utslp.edu.mx/,504,Gateway Timeout,40053,94,207,,false,
I/O Error,91,Thu Oct 02 08:22:38 CST 2025,GET,https://sito.utslp.edu.mx/,504,Gateway Timeout,40059,94,207,,false,
I/O Error,92,Thu Oct 02 08:22:46 CST 2025,GET,https://sito.utslp.edu.mx/,504,Gateway Timeout,40049,94,207,,false,
I/O Error,93,Thu Oct 02 08:22:54 CST 2025,GET,https://sito.utslp.edu.mx/,504,Gateway Timeout,40033,94,207,,false,
I/O Error,94,Thu Oct 02 08:23:12 CST 2025,GET,https://sito.utslp.edu.mx/favicon.ico,504,Gateway Timeout,40048,94,218,,false,
